Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Strokes,[],Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Pool Swimming,2022-05-20 09:10:48,false,"Pool Swimming","700","168","00:21:27","150","179","3.2","0","0","2:14","1:46","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","405","96","26","0","0:00","0.0","0:00","No","00:07.74.3","8","0.0","00:15:36","00:21:35","--","--"
Pool Swimming,2022-05-19 09:07:56,false,"Pool Swimming","800","192","00:24:22","153","175","3.6","0","0","2:17","1:48","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","467","97","26","0","0:00","0.0","0:00","No","01:35.37.8","7","0.0","00:18:12","00:24:30","--","--"
Pool Swimming,2022-05-16 06:05:18,false,"Pool Swimming","700","168","00:20:55","152","185","3.3","0","0","2:14","1:45","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","402","96","26","0","0:00","0.0","0:00","No","00:05.61.3","8","0.0","00:15:39","00:21:01","--","--"
Pool Swimming,2022-05-13 09:12:15,false,"Pool Swimming","600","144","00:18:04","149","172","3.1","0","0","2:18","1:49","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","350","98","25","0","0:00","0.0","0:00","No","00:06.02.4","6","0.0","00:13:50","00:18:10","--","--"
Pool Swimming,2022-05-12 09:09:58,false,"Pool Swimming","700","168","00:21:15","151","178","3.2","0","0","2:15","1:44","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","400","96","25","0","0:00","0.0","0:00","No","00:07.23.6","8","0.0","00:15:44","00:21:21","--","--"
Pool Swimming,2022-05-09 06:06:42,false,"Pool Swimming","550","130","00:20:10","155","173","3.3","0","0","2:19","1:40","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","328","99","26","0","0:00","0.0","0:00","No","00:33.82.1","12","0.0","00:12:46","00:20:16","--","--"
Pool Swimming,2022-05-06 09:11:49,false,"Pool Swimming","600","144","00:20:43","148","184","3.3","0","0","2:14","1:48","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","328","95","24","0","0:00","0.0","0:00","No","00:11.63.5","8","0.0","00:13:26","00:20:48","--","--"
Pool Swimming,2022-05-04 09:07:26,false,"Pool Swimming","600","144","00:20:04","143","174","3.0","0","0","2:12","1:50","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","327","93","25","0","0:00","0.0","0:00","No","00:03.97.4","8","0.0","00:13:13","00:20:19","--","--"
Pool Swimming,2022-05-01 08:16:33,false,"Pool Swimming","550","131","00:24:53","143","176","3.1","0","0","2:22","2:00","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","320","100","25","0","0:00","0.0","0:00","No","01:44.88.8","11","0.0","00:13:00","00:25:06","--","--"
Pool Swimming,2022-04-29 09:05:52,false,"Pool Swimming","600","144","00:23:52","141","173","3.1","0","0","2:10","1:47","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","322","92","25","0","0:00","0.0","0:00","No","00:04.18.3","12","0.0","00:12:59","00:23:57","--","--"
